run_id,Time,Power,ApparentPower,ReactivePower,Factor,Voltage,Current
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:38,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:38,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:38,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:38,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:38,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:38,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:38,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:39,1667,1667,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:39,1667,1667,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:39,1671,1671,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:39,1671,1671,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:39,1671,1671,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:39,1671,1671,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:39,1671,1671,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:39,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:39,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:39,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:39,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:40,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:40,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:40,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:40,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:40,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:40,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:40,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:40,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:41,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:41,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:41,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:41,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:41,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:41,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:41,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:41,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:41,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:42,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:42,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:42,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:42,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:42,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:42,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:42,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:42,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:42,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:42,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:43,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:43,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:43,1673,1673,0,1.0,227,7.331
